Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Tolsti vrh (pri Poljški planini),https://www.hribi.net/gora/tolsti_vrh_pri_poljski_planini/11/3051,Karavanke,1225,lahka,lahka,2231
Kmečki turizem Obolno,https://www.hribi.net/gora/kmecki_turizem_obolno/25/2508,Zasavsko - Posavsko hribovje in Dolenjska,722,lahka,lahka,2232
Planinski dom na kmetiji Kumer,https://www.hribi.net/gora/planinski_dom_na_kmetiji_kumer/11/2697,Karavanke,1220,lahka,lahka,2233
Jasovnik,https://www.hribi.net/gora/jasovnik/25/3246,Zasavsko - Posavsko hribovje in Dolenjska,764,lahka,lahka,2234
Divja koza,https://www.hribi.net/gora/divja_koza/1/3954,Julijske Alpe,2507,zahtevna,zahtevna,2235
Sv. Katarina nad Novokračinami,https://www.hribi.net/gora/sv_katarina_nad_novokracinami/26/2418,"Goriško, Notranjsko in Snežniško hribovje",675,lahka,lahka,2236
Novi grad (Pusti grad),https://www.hribi.net/gora/novi_grad_pusti_grad/3/2411,Kamniško Savinjske Alpe,630,lahka,lahka,2237
Jelovice,https://www.hribi.net/gora/jelovice/4/2837,Pohorje in ostala severovzhodna Slovenija,623,lahka,lahka,2238
Bajturn (Zaplaški hrib),https://www.hribi.net/gora/bajturn_zaplaski_hrib/25/2613,Zasavsko - Posavsko hribovje in Dolenjska,609,lahka,lahka,2240
Bela peč (nad Dovjem),https://www.hribi.net/gora/bela_pec_nad_dovjem/11/3271,Karavanke,1460,lahka,lahka,2242
Špilnik,https://www.hribi.net/gora/spilnik/26/3392,"Goriško, Notranjsko in Snežniško hribovje",1018,lahka,lahka,2243
Kriva jelka,https://www.hribi.net/gora/kriva_jelka/3/3112,Kamniško Savinjske Alpe,528,lahka,lahka,2245
Ovča koča,https://www.hribi.net/gora/ovca_koca/3/2635,Kamniško Savinjske Alpe,1323,lahka,lahka,2246
Jermanca (Jermancov grič),https://www.hribi.net/gora/jermanca_jermancov_gric/5/2846,Polhograjsko hribovje in Ljubljana,728,lahka,lahka,2247
Marija Snežna na Gradišcah,https://www.hribi.net/gora/marija_snezna_na_gradiscah/26/2916,"Goriško, Notranjsko in Snežniško hribovje",467,lahka,lahka,2249
Mali Rogatec (Mali Rogac),https://www.hribi.net/gora/mali_rogatec_mali_rogac/3/2598,Kamniško Savinjske Alpe,1228,lahka,lahka,2250
Sveti Duh (Sveti Peter),https://www.hribi.net/gora/sveti_duh_sveti_peter/26/2446,"Goriško, Notranjsko in Snežniško hribovje",253,lahka,lahka,2251
Brezovec,https://www.hribi.net/gora/brezovec/3/2414,Kamniško Savinjske Alpe,617,lahka,lahka,2252
Oklo nad Ihanom,https://www.hribi.net/gora/oklo_nad_ihanom/25/2871,Zasavsko - Posavsko hribovje in Dolenjska,465,lahka,lahka,2253
Šmihelovec,https://www.hribi.net/gora/smihelovec/1/3493,Julijske Alpe,2118,zahtevna,zahtevna,2254
Mirca,https://www.hribi.net/gora/mirca/11/2472,Karavanke,1025,lahka,lahka,2255
Jama Vilenica,https://www.hribi.net/gora/jama_vilenica/26/2399,"Goriško, Notranjsko in Snežniško hribovje",420,lahka,lahka,2256
Izvir Toplega (Studeniškega) potoka,https://www.hribi.net/gora/izvir_toplega_studeniskega_potoka/4/2379,Pohorje in ostala severovzhodna Slovenija,295,lahka,lahka,2258
Ojstra / Oistra,https://www.hribi.net/gora/ojstra___oistra/11/2782,Karavanke,1577,lahka,lahka,2261
Ljubična gora,https://www.hribi.net/gora/ljubicna_gora/11/3154,Karavanke,533,lahka,lahka,2263
Stara koča na Kaninu,https://www.hribi.net/gora/stara_koca_na_kaninu/1/3137,Julijske Alpe,1814,lahka,lahka,2265
Stari grad nad Otočcem,https://www.hribi.net/gora/stari_grad_nad_otoccem/25/2656,Zasavsko - Posavsko hribovje in Dolenjska,250,lahka,lahka,2267
Sveti Primož (Kremen),https://www.hribi.net/gora/sveti_primoz_kremen/25/2428,Zasavsko - Posavsko hribovje in Dolenjska,340,lahka,lahka,2268
Bazilika Marije Pomagaj na Brezjah,https://www.hribi.net/gora/bazilika_marije_pomagaj_na_brezjah/3/2762,Kamniško Savinjske Alpe,486,lahka,lahka,2269
Planina Otavnik,https://www.hribi.net/gora/planina_otavnik/21/2600,"Škofjeloško, Cerkljansko hribovje in Jelovica",1268,lahka,lahka,2270
Planina Kališnik,https://www.hribi.net/gora/planina_kalisnik/21/2886,"Škofjeloško, Cerkljansko hribovje in Jelovica",1180,lahka,lahka,2271
Ptujska Gora,https://www.hribi.net/gora/ptujska_gora/4/3489,Pohorje in ostala severovzhodna Slovenija,342,lahka,lahka,2273
Sveti Bolfenk (Mariborsko Pohorje),https://www.hribi.net/gora/sveti_bolfenk_mariborsko_pohorje/4/3650,Pohorje in ostala severovzhodna Slovenija,1040,lahka,lahka,2274
Vanganelsko jezero,https://www.hribi.net/gora/vanganelsko_jezero/26/2913,"Goriško, Notranjsko in Snežniško hribovje",55,lahka,lahka,2275
Turn (nad Bohinjsko Belo),https://www.hribi.net/gora/turn_nad_bohinjsko_belo/1/2785,Julijske Alpe,1249,lahka,lahka,2277
Vrše,https://www.hribi.net/gora/vrse/1/2468,Julijske Alpe,850,lahka,lahka,2278
Debeli vrh (nad Topolami),https://www.hribi.net/gora/debeli_vrh_nad_topolami/5/2781,Polhograjsko hribovje in Ljubljana,446,lahka,lahka,2280
Štrukljev vrh,https://www.hribi.net/gora/strukljev_vrh/11/2893,Karavanke,1227,lahka,lahka,2281
Smrekov vrh,https://www.hribi.net/gora/smrekov_vrh/26/3572,"Goriško, Notranjsko in Snežniško hribovje",1449,zahtevna,zahtevna,2282
Ojstra peč,https://www.hribi.net/gora/ojstra_pec/21/2777,"Škofjeloško, Cerkljansko hribovje in Jelovica",516,lahka,lahka,2283
Spominsko obeležje Aleš Kunaver,https://www.hribi.net/gora/spominsko_obelezje_ales_kunaver/1/2453,Julijske Alpe,660,lahka,lahka,2284
Gradišče (Zapoški hrib),https://www.hribi.net/gora/gradisce_zaposki_hrib/5/2456,Polhograjsko hribovje in Ljubljana,451,lahka,lahka,2285
Grad Višnja Gora (Stari grad),https://www.hribi.net/gora/grad_visnja_gora_stari_grad/25/2716,Zasavsko - Posavsko hribovje in Dolenjska,506,lahka,lahka,2286
Sveta Barbara (Ravnik pri Hotedršici),https://www.hribi.net/gora/sveta_barbara_ravnik_pri_hotedrsici/26/2450,"Goriško, Notranjsko in Snežniško hribovje",674,lahka,lahka,2287
Zapotoški slapovi,https://www.hribi.net/gora/zapotoski_slapovi/1/3558,Julijske Alpe,1140,delno zahtevna,delno zahtevna,2288
Kapelica Na Koren,https://www.hribi.net/gora/kapelica_na_koren/21/2485,"Škofjeloško, Cerkljansko hribovje in Jelovica",550,lahka,lahka,2289
Stražni stolp pod vrhom Kovčka,https://www.hribi.net/gora/strazni_stolp_pod_vrhom_kovcka/5/3277,Polhograjsko hribovje in Ljubljana,770,lahka,lahka,2290
Blažčeva skala,https://www.hribi.net/gora/blazceva_skala/11/3273,Karavanke,1091,lahka,lahka,2292
Slap Šum (Bistriški vintgar),https://www.hribi.net/gora/slap_sum_bistriski_vintgar/4/3612,Pohorje in ostala severovzhodna Slovenija,590,lahka,lahka,2293
Janževski vrh,https://www.hribi.net/gora/janzevski_vrh/4/3082,Pohorje in ostala severovzhodna Slovenija,915,lahka,lahka,2294
Udornica Risnik,https://www.hribi.net/gora/udornica_risnik/26/2939,"Goriško, Notranjsko in Snežniško hribovje",366,lahka,lahka,2295
Kamin Široka polica,https://www.hribi.net/gora/kamin_siroka_polica/1/3425,Julijske Alpe,780,zahtevna,zahtevna,2297
Jamna peč,https://www.hribi.net/gora/jamna_pec/3/3077,Kamniško Savinjske Alpe,720,lahka,lahka,2298
Podkanjski slap / Wildensteiner Wasserfall,https://www.hribi.net/gora/podkanjski_slap___wildensteiner_wasserfall/11/2818,Karavanke,640,lahka,lahka,2299
Vrh soteske (Križna gora),https://www.hribi.net/gora/vrh_soteske_krizna_gora/21/3090,"Škofjeloško, Cerkljansko hribovje in Jelovica",735,lahka,lahka,2300
Suharna,https://www.hribi.net/gora/suharna/21/3149,"Škofjeloško, Cerkljansko hribovje in Jelovica",952,lahka,lahka,2301
Veliki vrh (na Pohorju),https://www.hribi.net/gora/veliki_vrh_na_pohorju/4/3505,Pohorje in ostala severovzhodna Slovenija,1344,lahka,lahka,2302
Ribnica na Pohorju,https://www.hribi.net/gora/ribnica_na_pohorju/4/3085,Pohorje in ostala severovzhodna Slovenija,715,lahka,lahka,2305
Blagajev grad (Polhograjska graščina),https://www.hribi.net/gora/blagajev_grad_polhograjska_grascina/5/2729,Polhograjsko hribovje in Ljubljana,377,lahka,lahka,2306
Strmica,https://www.hribi.net/gora/strmica/26/2561,"Goriško, Notranjsko in Snežniško hribovje",626,lahka,lahka,2307
Anski vrh (nad Pamečami),https://www.hribi.net/gora/anski_vrh_nad_pamecami/4/3099,Pohorje in ostala severovzhodna Slovenija,756,lahka,lahka,2309
Bavč,https://www.hribi.net/gora/bavc/25/3340,Zasavsko - Posavsko hribovje in Dolenjska,692,lahka,lahka,2310
Grmada (Bohor),https://www.hribi.net/gora/grmada_bohor/25/3092,Zasavsko - Posavsko hribovje in Dolenjska,890,lahka,lahka,2311
Izvir reke Meže,https://www.hribi.net/gora/izvir_reke_meze/11/2955,Karavanke,1230,lahka,lahka,2312
Bivak Tarvisio,https://www.hribi.net/gora/bivak_tarvisio/1/2895,Julijske Alpe,2150,ni podatka,ni podatka,2313
Doslovška planina,https://www.hribi.net/gora/doslovska_planina/11/2563,Karavanke,1210,lahka,lahka,2314
Sveti Križ nad Selcami,https://www.hribi.net/gora/sveti_kriz_nad_selcami/21/2852,"Škofjeloško, Cerkljansko hribovje in Jelovica",860,lahka,lahka,2315
Sveta Marija Magdalena (Gore),https://www.hribi.net/gora/sveta_marija_magdalena_gore/26/2605,"Goriško, Notranjsko in Snežniško hribovje",851,lahka,lahka,2316
Grad Gutenberk (Hudi grad),https://www.hribi.net/gora/grad_gutenberk_hudi_grad/3/2926,Kamniško Savinjske Alpe,663,lahka,lahka,2317
Plešivec,https://www.hribi.net/gora/plesivec/1/3474,Julijske Alpe,1962,delno zahtevna,delno zahtevna,2318
Kuk nad Paljevim,https://www.hribi.net/gora/kuk_nad_paljevim/26/2486,"Goriško, Notranjsko in Snežniško hribovje",612,lahka,lahka,2319
Pleče,https://www.hribi.net/gora/plece/3/3159,Kamniško Savinjske Alpe,1131,lahka,lahka,2323
Gradovec,https://www.hribi.net/gora/gradovec/1/2649,Julijske Alpe,1692,lahka,lahka,2324
Šumahov vrh,https://www.hribi.net/gora/sumahov_vrh/11/2922,Karavanke,1155,lahka,lahka,2325
Tabor Cerovo,https://www.hribi.net/gora/tabor_cerovo/25/2739,Zasavsko - Posavsko hribovje in Dolenjska,493,lahka,lahka,2329
Slapovi v Preski,https://www.hribi.net/gora/slapovi_v_preski/11/2535,Karavanke,910,ni podatka,ni podatka,2331
Hajnžev Praprotnik / Zeller Prapotnik,https://www.hribi.net/gora/hajnzev_praprotnik___zeller_prapotnik/11/2834,Karavanke,1727,lahka,lahka,2332
Ribenska planina,https://www.hribi.net/gora/ribenska_planina/21/3292,"Škofjeloško, Cerkljansko hribovje in Jelovica",965,lahka,lahka,2333
Berjanca,https://www.hribi.net/gora/berjanca/1/3196,Julijske Alpe,1264,lahka,lahka,2336
Planina Prihod,https://www.hribi.net/gora/planina_prihod/21/2503,"Škofjeloško, Cerkljansko hribovje in Jelovica",1017,lahka,lahka,2337
Grad Velenje,https://www.hribi.net/gora/grad_velenje/3/2874,Kamniško Savinjske Alpe,442,lahka,lahka,2338
Velika Boncla,https://www.hribi.net/gora/velika_boncla/11/2464,Karavanke,1241,lahka,lahka,2339
Kališje,https://www.hribi.net/gora/kalisje/11/2734,Karavanke,1435,lahka,lahka,2340
Gogalova lipa,https://www.hribi.net/gora/gogalova_lipa/1/2439,Julijske Alpe,725,lahka,lahka,2341
Črna peč,https://www.hribi.net/gora/crna_pec/11/3252,Karavanke,1447,lahka,lahka,2343
Čofatijev vrh,https://www.hribi.net/gora/cofatijev_vrh/11/2854,Karavanke,1606,lahka,lahka,2345
Planina v Prodih,https://www.hribi.net/gora/planina_v_prodih/1/2948,Julijske Alpe,1070,lahka,lahka,2346
Robič,https://www.hribi.net/gora/robic/11/3174,Karavanke,1384,lahka,lahka,2347
Grad Kostel,https://www.hribi.net/gora/grad_kostel/26/3328,"Goriško, Notranjsko in Snežniško hribovje",406,lahka,lahka,2348
Črni vrh / Colrotondo,https://www.hribi.net/gora/crni_vrh___colrotondo/1/3025,Julijske Alpe,1486,lahka,lahka,2349
Gradišče (nad Slovenj Gradcem),https://www.hribi.net/gora/gradisce_nad_slovenj_gradcem/4/3066,Pohorje in ostala severovzhodna Slovenija,516,lahka,lahka,2350
Golek,https://www.hribi.net/gora/golek/4/3578,Pohorje in ostala severovzhodna Slovenija,769,lahka,lahka,2352
Snežnik (nad Koprivno),https://www.hribi.net/gora/sneznik_nad_koprivno/11/2702,Karavanke,1543,lahka,lahka,2354
Jerman,https://www.hribi.net/gora/jerman/11/3411,Karavanke,890,zahtevna,zahtevna,2355
Rimska trdnjava (Lanišče),https://www.hribi.net/gora/rimska_trdnjava_lanisce/26/2626,"Goriško, Notranjsko in Snežniško hribovje",635,lahka,lahka,2356
Stražnik,https://www.hribi.net/gora/straznik/25/3707,Zasavsko - Posavsko hribovje in Dolenjska,648,lahka,lahka,2357
Gradišče nad Žažarjem,https://www.hribi.net/gora/gradisce_nad_zazarjem/5/2749,Polhograjsko hribovje in Ljubljana,547,lahka,lahka,2359
Breznik (Boben),https://www.hribi.net/gora/breznik_boben/5/3283,Polhograjsko hribovje in Ljubljana,643,lahka,lahka,2360
Sveti Jurij (Hruševo),https://www.hribi.net/gora/sveti_jurij_hrusevo/5/2477,Polhograjsko hribovje in Ljubljana,414,lahka,lahka,2361
Skala (nad Dravogradom),https://www.hribi.net/gora/skala_nad_dravogradom/4/3097,Pohorje in ostala severovzhodna Slovenija,525,lahka,lahka,2362
Kres nad Kočno,https://www.hribi.net/gora/kres_nad_kocno/1/2452,Julijske Alpe,890,ni podatka,ni podatka,2364
Veliki vrh (nad Mežiško dolino),https://www.hribi.net/gora/veliki_vrh_nad_mezisko_dolino/11/2921,Karavanke,1165,lahka,lahka,2365
Janški vrh,https://www.hribi.net/gora/janski_vrh/4/3081,Pohorje in ostala severovzhodna Slovenija,417,lahka,lahka,2366
Slapovi v Kotu,https://www.hribi.net/gora/slapovi_v_kotu/1/3333,Julijske Alpe,1050,lahka,lahka,2367
Šoštanj,https://www.hribi.net/gora/sostanj/3/2827,Kamniško Savinjske Alpe,358,lahka,lahka,2369
Partizanska tehnika Meta,https://www.hribi.net/gora/partizanska_tehnika_meta/21/3267,"Škofjeloško, Cerkljansko hribovje in Jelovica",1100,lahka,lahka,2370
Lovski vrh,https://www.hribi.net/gora/lovski_vrh/25/3226,Zasavsko - Posavsko hribovje in Dolenjska,830,lahka,lahka,2371
Lovska koča Plehanov laz,https://www.hribi.net/gora/lovska_koca_plehanov_laz/26/2507,"Goriško, Notranjsko in Snežniško hribovje",625,lahka,lahka,2372
Slap potoka Struga,https://www.hribi.net/gora/slap_potoka_struga/26/2908,"Goriško, Notranjsko in Snežniško hribovje",105,lahka,lahka,2374
Veliki hrib (kota 526),https://www.hribi.net/gora/veliki_hrib_kota_526/26/2610,"Goriško, Notranjsko in Snežniško hribovje",526,lahka,lahka,2375
Andrejev vrh,https://www.hribi.net/gora/andrejev_vrh/11/2778,Karavanke,897,lahka,lahka,2376
Kamnitnik (nad Škofjo Loko),https://www.hribi.net/gora/kamnitnik_nad_skofjo_loko/21/2888,"Škofjeloško, Cerkljansko hribovje in Jelovica",426,lahka,lahka,2377
Razgledišče Skroti,https://www.hribi.net/gora/razgledisce_skroti/3/3249,Kamniško Savinjske Alpe,787,lahka,lahka,2378
Sveti Urh (Zavratec),https://www.hribi.net/gora/sveti_urh_zavratec/26/2545,"Goriško, Notranjsko in Snežniško hribovje",724,lahka,lahka,2380
Planinsko zavetišče Slatna,https://www.hribi.net/gora/planinsko_zavetisce_slatna/1/3151,Julijske Alpe,1023,lahka,lahka,2383
Rajna peč,https://www.hribi.net/gora/rajna_pec/26/2750,"Goriško, Notranjsko in Snežniško hribovje",656,lahka,lahka,2384
Hujska,https://www.hribi.net/gora/hujska/21/2672,"Škofjeloško, Cerkljansko hribovje in Jelovica",706,lahka,lahka,2385
Sveta Barbara (nad Hrastnico),https://www.hribi.net/gora/sveta_barbara_nad_hrastnico/5/3188,Polhograjsko hribovje in Ljubljana,629,lahka,lahka,2386
Leški cerkvi,https://www.hribi.net/gora/leski_cerkvi/11/2768,Karavanke,674,lahka,lahka,2389
Planina Blatce,https://www.hribi.net/gora/planina_blatce/1/2932,Julijske Alpe,888,lahka,lahka,2391
Goli hrib,https://www.hribi.net/gora/goli_hrib/26/2909,"Goriško, Notranjsko in Snežniško hribovje",217,lahka,lahka,2392
Planina Ravne,https://www.hribi.net/gora/planina_ravne/1/2492,Julijske Alpe,956,lahka,lahka,2395
Police,https://www.hribi.net/gora/police/1/2491,Julijske Alpe,1184,lahka,lahka,2397
Žerjavec (Kavče),https://www.hribi.net/gora/zerjavec_kavce/1/2457,Julijske Alpe,805,lahka,lahka,2398
Ferjanka,https://www.hribi.net/gora/ferjanka/5/3631,Polhograjsko hribovje in Ljubljana,399,lahka,lahka,2399
Ostri vrh (nad Globodolom),https://www.hribi.net/gora/ostri_vrh_nad_globodolom/25/2585,Zasavsko - Posavsko hribovje in Dolenjska,523,lahka,lahka,2400
Sv. Kunigunda na Taboru nad Ihanom,https://www.hribi.net/gora/sv_kunigunda_na_taboru_nad_ihanom/25/2869,Zasavsko - Posavsko hribovje in Dolenjska,377,lahka,lahka,2401
Kamnica (Komnica) / Ferlacher Spitze,https://www.hribi.net/gora/kamnica_komnica___ferlacher_spitze/11/2971,Karavanke,1742,lahka,lahka,2403
Donačka gora (vzhodni vrh),https://www.hribi.net/gora/donacka_gora_vzhodni_vrh/11/3552,Karavanke,883,delno zahtevna,zahtevna,2404
Lovska koča Trešnja ravan,https://www.hribi.net/gora/lovska_koca_tresnja_ravan/26/2460,"Goriško, Notranjsko in Snežniško hribovje",818,lahka,lahka,2405
Gura,https://www.hribi.net/gora/gura/26/2946,"Goriško, Notranjsko in Snežniško hribovje",510,lahka,lahka,2406
Visoko,https://www.hribi.net/gora/visoko/11/2878,Karavanke,991,lahka,lahka,2407
Stovc (Stolec),https://www.hribi.net/gora/stovc_stolec/21/3248,"Škofjeloško, Cerkljansko hribovje in Jelovica",474,lahka,lahka,2408
Kušpergarjev turn (Kušpergarjevi turni),https://www.hribi.net/gora/kuspergarjev_turn_kuspergarjevi_turni/11/2802,Karavanke,750,delno zahtevna,delno zahtevna,2409
Sv. Primož in Felicijan (Razbor pri Čemšeniku),https://www.hribi.net/gora/sv_primoz_in_felicijan_razbor_pri_cemseniku/25/3065,Zasavsko - Posavsko hribovje in Dolenjska,841,lahka,lahka,2410
Črni vrh (Iskra),https://www.hribi.net/gora/crni_vrh_iskra/26/2915,"Goriško, Notranjsko in Snežniško hribovje",119,lahka,lahka,2411
Sveti Jošt na Paškem Kozjaku,https://www.hribi.net/gora/sveti_jost_na_paskem_kozjaku/11/2896,Karavanke,1063,lahka,lahka,2412
Jurjev hrib,https://www.hribi.net/gora/jurjev_hrib/26/2907,"Goriško, Notranjsko in Snežniško hribovje",109,lahka,lahka,2413
Lovska koča nad Doslovško planino,https://www.hribi.net/gora/lovska_koca_nad_doslovsko_planino/11/2564,Karavanke,1325,lahka,lahka,2414
Stari grad (Volčji Potok),https://www.hribi.net/gora/stari_grad_volcji_potok/25/2714,Zasavsko - Posavsko hribovje in Dolenjska,398,lahka,lahka,2415
Pesek,https://www.hribi.net/gora/pesek/4/3468,Pohorje in ostala severovzhodna Slovenija,1423,lahka,lahka,2416
Tabor,https://www.hribi.net/gora/tabor/25/2480,Zasavsko - Posavsko hribovje in Dolenjska,697,lahka,lahka,2417
Stara cerkev sv. Ožbolta (Jezersko),https://www.hribi.net/gora/stara_cerkev_sv_ozbolta_jezersko/11/3351,Karavanke,961,lahka,lahka,2418
Bezgarska planina,https://www.hribi.net/gora/bezgarska_planina/26/2556,"Goriško, Notranjsko in Snežniško hribovje",895,lahka,lahka,2419
Jezero Kreda v dolini Radovne,https://www.hribi.net/gora/jezero_kreda_v_dolini_radovne/1/3104,Julijske Alpe,674,lahka,lahka,2422
Čopov rovt,https://www.hribi.net/gora/copov_rovt/11/2609,Karavanke,710,lahka,lahka,2423
Javor (nad Tolminskimi Ravnami),https://www.hribi.net/gora/javor_nad_tolminskimi_ravnami/1/2633,Julijske Alpe,1363,lahka,lahka,2424
Sveta Ana v Koprivni,https://www.hribi.net/gora/sveta_ana_v_koprivni/11/2698,Karavanke,1218,lahka,lahka,2425
Planina Vršana,https://www.hribi.net/gora/planina_vrsana/21/2498,"Škofjeloško, Cerkljansko hribovje in Jelovica",900,lahka,lahka,2426
Vrtače,https://www.hribi.net/gora/vrtace/25/3031,Zasavsko - Posavsko hribovje in Dolenjska,758,lahka,lahka,2427
Sveta Jedert (Lajše),https://www.hribi.net/gora/sveta_jedert_lajse/21/2850,"Škofjeloško, Cerkljansko hribovje in Jelovica",850,lahka,lahka,2428
Sevčnik,https://www.hribi.net/gora/sevcnik/3/3070,Kamniško Savinjske Alpe,562,lahka,lahka,2429
Sveti Štefan (Kupljenik),https://www.hribi.net/gora/sveti_stefan_kupljenik/21/2504,"Škofjeloško, Cerkljansko hribovje in Jelovica",642,lahka,lahka,2430
Trenk,https://www.hribi.net/gora/trenk/26/2534,"Goriško, Notranjsko in Snežniško hribovje",769,lahka,lahka,2431
Povšnarjeva planina,https://www.hribi.net/gora/povsnarjeva_planina/3/2636,Kamniško Savinjske Alpe,1330,lahka,lahka,2432
Planina Zagreben,https://www.hribi.net/gora/planina_zagreben/1/2984,Julijske Alpe,1240,delno zahtevna,delno zahtevna,2433
Gradišče nad Sotesko (Soteska),https://www.hribi.net/gora/gradisce_nad_sotesko_soteska/11/2484,Karavanke,724,lahka,lahka,2434
Vrholanov vrh (Ravne pri Šoštanju),https://www.hribi.net/gora/vrholanov_vrh_ravne_pri_sostanju/3/2795,Kamniško Savinjske Alpe,710,lahka,lahka,2435
Planja (nad Mangartsko planino),https://www.hribi.net/gora/planja_nad_mangartsko_planino/1/2992,Julijske Alpe,1553,delno zahtevna,delno zahtevna,2437
Brinova glava,https://www.hribi.net/gora/brinova_glava/1/3568,Julijske Alpe,1586,zahtevna,zahtevna,2438
Prgozdnik,https://www.hribi.net/gora/prgozdnik/3/3089,Kamniško Savinjske Alpe,1013,lahka,lahka,2439
Veliki Juhej,https://www.hribi.net/gora/veliki_juhej/11/3259,Karavanke,865,lahka,lahka,2440
Mačenski vrh / Matschacher Gupf,https://www.hribi.net/gora/macenski_vrh___matschacher_gupf/11/2814,Karavanke,1691,lahka,lahka,2441
Lovska koča Berebica,https://www.hribi.net/gora/lovska_koca_berebica/1/3564,Julijske Alpe,1590,lahka,lahka,2442
Turni (pri Kozjem vrhu),https://www.hribi.net/gora/turni_pri_kozjem_vrhu/3/2581,Kamniško Savinjske Alpe,1432,delno zahtevna,delno zahtevna,2443
Jezerska planina / Alpe del Lago,https://www.hribi.net/gora/jezerska_planina___alpe_del_lago/1/3024,Julijske Alpe,1006,lahka,lahka,2446
Sveti Florjan (Zgornja Gora),https://www.hribi.net/gora/sveti_florjan_zgornja_gora/25/3029,Zasavsko - Posavsko hribovje in Dolenjska,698,lahka,lahka,2447
Spominski park v Kamniški Bistrici,https://www.hribi.net/gora/spominski_park_v_kamniski_bistrici/3/3447,Kamniško Savinjske Alpe,680,lahka,lahka,2448
Virnikova planina,https://www.hribi.net/gora/virnikova_planina/11/3221,Karavanke,1160,lahka,lahka,2449
Žamboh,https://www.hribi.net/gora/zamboh/25/3050,Zasavsko - Posavsko hribovje in Dolenjska,738,ni podatka,ni podatka,2450
Planina Rožca / Roschitzaalm,https://www.hribi.net/gora/planina_rozca___roschitzaalm/11/2715,Karavanke,1407,lahka,lahka,2451
Sleme (Površnica),https://www.hribi.net/gora/sleme_povrsnica/21/2851,"Škofjeloško, Cerkljansko hribovje in Jelovica",883,lahka,lahka,2453
Gradiški grič,https://www.hribi.net/gora/gradiski_gric/25/2726,Zasavsko - Posavsko hribovje in Dolenjska,485,lahka,lahka,2455
Sv. Andrej nad Olimjem,https://www.hribi.net/gora/sv_andrej_nad_olimjem/25/2431,Zasavsko - Posavsko hribovje in Dolenjska,351,lahka,lahka,2456
Koča Berta / Bertahütte,https://www.hribi.net/gora/koca_berta___bertahutte/11/2972,Karavanke,1527,lahka,lahka,2458
Planina Berebica,https://www.hribi.net/gora/planina_berebica/1/3563,Julijske Alpe,1248,lahka,lahka,2460
Sveti Peter (Selo pri Mirni),https://www.hribi.net/gora/sveti_peter_selo_pri_mirni/25/2426,Zasavsko - Posavsko hribovje in Dolenjska,445,lahka,lahka,2462
Sveti Kvirin na Paljevem,https://www.hribi.net/gora/sveti_kvirin_na_paljevem/26/2489,"Goriško, Notranjsko in Snežniško hribovje",321,lahka,lahka,2463
Zapečnikova planina,https://www.hribi.net/gora/zapecnikova_planina/3/3152,Kamniško Savinjske Alpe,840,lahka,lahka,2464
Razpok,https://www.hribi.net/gora/razpok/21/3107,"Škofjeloško, Cerkljansko hribovje in Jelovica",1002,lahka,lahka,2466
Sveti Vid (Šentviška gora),https://www.hribi.net/gora/sveti_vid_sentviska_gora/25/4064,Zasavsko - Posavsko hribovje in Dolenjska,385,ni podatka,ni podatka,2467
Hom (nad Prevaljami),https://www.hribi.net/gora/hom_nad_prevaljami/11/2903,Karavanke,1193,lahka,lahka,2468
Sveti Brikcij (Četena Ravan),https://www.hribi.net/gora/sveti_brikcij_cetena_ravan/21/3091,"Škofjeloško, Cerkljansko hribovje in Jelovica",920,lahka,lahka,2473
Visoka glava (na Matajurju),https://www.hribi.net/gora/visoka_glava_na_matajurju/1/2999,Julijske Alpe,1540,lahka,lahka,2474
Kunšperski vrh (Brezovec),https://www.hribi.net/gora/kunsperski_vrh_brezovec/3/2597,Kamniško Savinjske Alpe,1336,lahka,lahka,2475
Rifugio Brunner,https://www.hribi.net/gora/rifugio_brunner/1/3111,Julijske Alpe,1432,lahka,lahka,2476
Bukovski vrh,https://www.hribi.net/gora/bukovski_vrh/21/3220,"Škofjeloško, Cerkljansko hribovje in Jelovica",918,lahka,lahka,2478
Grmadnik,https://www.hribi.net/gora/grmadnik/25/3400,Zasavsko - Posavsko hribovje in Dolenjska,569,lahka,lahka,2481
Gradišče (pri Grižah),https://www.hribi.net/gora/gradisce_pri_grizah/25/3238,Zasavsko - Posavsko hribovje in Dolenjska,341,lahka,lahka,2483
Jamnikov spodmol,https://www.hribi.net/gora/jamnikov_spodmol/1/2576,Julijske Alpe,720,lahka,lahka,2485
Jelovička in Mihova jama,https://www.hribi.net/gora/jelovicka_in_mihova_jama/25/3326,Zasavsko - Posavsko hribovje in Dolenjska,240,lahka,lahka,2486
Jezerce v dolini Radovne,https://www.hribi.net/gora/jezerce_v_dolini_radovne/1/3103,Julijske Alpe,657,lahka,lahka,2488
Grajska planina (Ribšca),https://www.hribi.net/gora/grajska_planina_ribsca/1/3198,Julijske Alpe,1210,lahka,lahka,2490
Sv. Ana nad Makolami,https://www.hribi.net/gora/sv_ana_nad_makolami/4/2401,Pohorje in ostala severovzhodna Slovenija,460,ni podatka,ni podatka,2493
