Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Pasja ravan,https://www.hribi.net/gora/pasja_ravan/5/493,Polhograjsko hribovje in Ljubljana,1020,lahka,lahka,178
Pristovški Storžič / Kärntner Storschitz,https://www.hribi.net/gora/pristovski_storzic___karntner_storschitz/11/680,Karavanke,1759,lahka,zahtevna,179
Planinska koča Iskra na Jakobu,https://www.hribi.net/gora/planinska_koca_iskra_na_jakobu/3/238,Kamniško Savinjske Alpe,961,lahka,lahka,180
Dolkova špica,https://www.hribi.net/gora/dolkova_spica/1/10,Julijske Alpe,2591,zahtevna,zahtevna,181
Mala Tičarica,https://www.hribi.net/gora/mala_ticarica/1/151,Julijske Alpe,2071,lahka,zahtevna,182
Lučki Dedec,https://www.hribi.net/gora/lucki_dedec/3/358,Kamniško Savinjske Alpe,2023,delno zahtevna,zahtevna,183
Kapelica na Molički planini,https://www.hribi.net/gora/kapelica_na_molicki_planini/3/324,Kamniško Savinjske Alpe,1780,lahka,zahtevna,184
Stegovnik,https://www.hribi.net/gora/stegovnik/11/442,Karavanke,1692,lahka,delno zahtevna,186
Bivak pod Skuto,https://www.hribi.net/gora/bivak_pod_skuto/3/389,Kamniško Savinjske Alpe,2070,zahtevna,zahtevna,187
Veliki Oltar,https://www.hribi.net/gora/veliki_oltar/1/7,Julijske Alpe,2621,ni podatka,ni podatka,188
Dom na Smrekovcu,https://www.hribi.net/gora/dom_na_smrekovcu/3/484,Kamniško Savinjske Alpe,1375,lahka,lahka,189
Babji zob,https://www.hribi.net/gora/babji_zob/21/523,"Škofjeloško, Cerkljansko hribovje in Jelovica",1128,lahka,lahka,190
Koča na Golici,https://www.hribi.net/gora/koca_na_golici/11/196,Karavanke,1582,lahka,delno zahtevna,191
Ruška koča na Arehu,https://www.hribi.net/gora/ruska_koca_na_arehu/4/842,Pohorje in ostala severovzhodna Slovenija,1246,lahka,lahka,192
Kokrska Kočna,https://www.hribi.net/gora/kokrska_kocna/3/31,Kamniško Savinjske Alpe,2520,zahtevna,zahtevna,193
Bogatin,https://www.hribi.net/gora/bogatin/1/326,Julijske Alpe,1977,delno zahtevna,delno zahtevna,194
Veliki vrh (Veža),https://www.hribi.net/gora/veliki_vrh_veza/3/438,Kamniško Savinjske Alpe,2110,lahka,lahka,195
Črno jezero,https://www.hribi.net/gora/crno_jezero/1/132,Julijske Alpe,1294,lahka,zahtevna,196
